15;19;20;22;25;27
8;15;21;22;23;38
18;19;31;33;35;38
2;3;20;28;34;37
10;20;29;32;37;38
2;3;4;9;12;15
3;12;17;18;30;37
1;3;20;23;35;39
5;9;13;20;24;37
5;13;17;24;28;31
12;23;27;30;32;40
5;8;10;13;34;36
7;16;28;29;38;40
5;7;19;20;21;31
5;13;15;18;22;39
4;8;9;10;30;39
2;12;13;20;36;38
3;11;19;27;33;34
3;17;21;31;33;38
2;12;23;26;29;36
9;17;24;27;29;36
4;17;27;31;33;34
3;9;19;27;28;33
5;11;14;16;17;31
4;8;19;22;23;27
3;9;14;19;31;40
3;7;10;11;23;24
2;3;12;14;20;36
5;11;23;29;31;35
3;7;9;10;16;38
6;16;17;25;29;32
17;18;23;36;39;40
1;8;9;25;26;40
2;12;20;28;29;38
2;4;20;25;32;37
10;23;25;30;34;35
16;21;22;26;27;30
6;11;18;32;34;37
2;3;5;15;37;40
1;23;25;30;32;37
8;16;20;24;27;36
1;7;12;22;28;37
2;11;15;16;18;23
14;20;26;27;29;33
2;13;17;26;32;34
1;7;12;21;30;40
11;13;17;19;23;30
4;14;22;26;27;29
2;20;26;31;32;39
1;10;15;20;21;36
11;14;20;32;34;37
3;5;6;15;19;29
3;4;7;9;23;26
2;3;7;8;19;27
3;9;18;27;31;36
17;18;19;20;24;39
11;12;17;29;39;40
4;11;16;20;33;40
5;7;13;14;19;38
1;2;12;18;22;23
3;12;14;20;26;36
17;30;31;33;34;35
4;8;15;16;33;37
13;19;28;34;35;38
8;27;30;32;35;36
2;13;14;26;28;32
16;20;22;26;27;33
3;10;14;17;18;22
2;26;30;32;38;40
4;14;18;32;34;38
7;13;22;29;31;37
9;12;13;26;31;32
12;18;20;22;25;37
9;21;23;28;31;33
4;13;16;20;24;40
4;9;15;21;35;37
13;14;22;26;37;38
2;13;19;24;25;33
14;25;27;30;38;39
11;16;18;24;26;33
3;12;15;28;32;35
2;5;7;10;29;34
1;4;17;20;31;39
1;4;8;11;28;32
13;16;24;27;30;31
10;15;18;23;27;34
1;14;26;28;37;38
3;6;14;16;18;36
1;2;3;7;23;34
5;21;35;36;37;39
8;12;15;19;29;32
4;10;14;21;33;38
2;12;27;31;33;34
10;17;21;24;34;39
3;6;16;29;34;38
11;17;21;24;27;35
1;2;6;18;32;39
4;5;21;33;34;38
5;8;30;36;39;40
11;23;25;29;33;40
3;6;9;16;26;30
1;10;16;18;37;40
6;7;10;16;18;35
7;10;29;30;31;40
1;5;15;19;20;38
3;4;18;21;31;40
1;16;21;27;29;36
1;4;11;33;35;37
14;15;22;26;34;39
6;9;17;24;26;39
2;16;20;21;29;35
2;11;20;23;31;33
11;20;26;27;32;37
8;14;15;20;24;26
5;18;19;26;32;36
7;12;19;25;30;34
13;17;19;25;29;36
1;8;13;21;32;39
2;6;7;16;21;25
8;13;14;19;33;38
16;17;19;21;31;40
1;2;11;12;15;31
3;8;11;17;24;30
14;16;18;29;31;40
2;17;25;26;35;37
6;9;13;15;19;35
4;8;13;20;25;30
5;6;18;20;25;28
11;14;23;25;27;31
12;18;21;22;31;34
4;8;12;23;35;38
2;3;12;30;33;35
2;13;16;31;32;33
2;4;6;10;17;40
2;17;23;32;39;40
1;8;15;20;32;37
2;18;28;29;36;40
4;7;15;22;25;34
15;24;25;29;30;31
3;20;23;32;34;38
10;14;15;18;28;36
7;9;16;17;24;40
8;9;15;24;38;40
2;4;9;14;27;31
10;15;25;27;34;36
3;11;21;25;28;34
12;28;29;31;33;39
11;12;16;25;29;36
11;17;19;23;26;29
9;10;15;17;26;40
5;10;13;16;17;29
1;2;4;5;6;34
1;7;22;23;35;38
12;14;17;28;33;39
1;3;4;6;16;39
9;24;27;28;32;38
3;7;8;12;14;24
