Nro1;Nro2;Nro3;Nro4;Nro5;Nro6
8;17;21;23;25;39
1;8;26;33;44;46
2;4;21;44;46;48
1;9;24;25;35;36
7;25;37;40;44;46
1;20;21;41;44;45
6;18;20;26;30;31
1;5;7;35;43;47
3;6;13;20;26;46
5;22;23;27;37;38
6;22;23;33;35;37
7;9;10;23;39;40
13;16;23;34;36;39
7;19;28;29;30;35
1;8;19;28;29;32
19;24;25;37;40;48
7;11;13;16;27;47
3;4;6;38;39;42
4;14;16;32;45;48
11;14;39;46;47;48
2;19;27;37;44;47
9;27;30;31;32;34
2;30;31;38;43;45
1;10;11;20;41;45
3;6;18;24;31;43
3;19;22;33;35;42
1;32;33;36;39;45
2;17;21;34;39;40
5;35;36;41;42;43
4;13;22;25;41;47
3;19;23;24;28;41
4;20;22;39;42;47
1;14;30;35;38;40
4;15;34;35;46;48
10;25;28;31;43;46
16;17;26;29;33;42
3;19;32;34;36;45
1;9;8;27;43;45
3;18;26;38;45;46
3;6;15;21;41;47
16;29;36;37;44;45
15;16;24;38;40;43
5;7;14;15;25;35
2;14;28;30;33;35
1;16;17;19;36;41
2;3;8;13;28;36
4;7;27;36;40;46
17;18;27;39;41;42
14;23;30;36;41;48
9;19;26;34;38;45
6;15;19;27;29;41
4;8;9;17;32;45
3;13;28;31;37;42
4;15;16;22;37;42
7;29;35;38;40;44
2;8;27;28;29;32
13;27;28;39;42;48
1;21;28;36;44;47
14;15;20;29;36;41
2;7;15;29;40;43
13;31;34;35;40;44
15;16;17;21;43;46
3;20;24;32;34;48
3;21;22;24;26;47
5;8;14;33;35;36
16;30;31;35;44;46
1;3;10;27;28;46
3;7;17;18;26;30
11;27;29;31;44;48
6;7;17;26;36;43
1;6;18;20;30;42
7;10;28;32;33;43
8;20;22;33;39;45
4;10;15;26;42;43
5;8;11;21;27;45
8;17;19;26;30;32
2;9;14;34;35;46
13;18;20;22;32;36
4;8;9;11;26;46
4;10;21;28;34;42
1;6;27;30;31;44
5;17;18;23;25;36
3;9;15;23;30;34
15;21;32;39;46;47
1;11;16;18;30;36
9;8;15;25;38;43
2;3;15;22;44;45
3;7;21;24;26;37
4;5;14;18;29;42
7;9;15;27;33;34
2;15;16;25;37;40
13;19;38;40;41;44
8;27;29;41;43;44
1;8;24;27;34;43
5;22;23;27;37;45
8;35;37;38;43;45
5;6;8;20;21;36
10;13;14;15;26;27
4;5;8;16;26;42
8;13;19;23;25;28
8;8;25;29;36;39
4;7;22;28;31;46
9;18;31;33;45;48
5;26;27;32;36;48
2;8;16;19;41;45
36;37;39;43;44;47
8;13;20;27;36;41
4;19;22;37;40;43
