No1;No2;No3;No4;No5;No6;No7;No8;No9;No10;No11;No12;No13;No14;No15;No16;No17;No18;No19;No20
1;2;3;13;14;19;23;24;27;28;32;36;39;42;43;46;50;60;65;67
3;5;8;10;13;15;16;21;22;23;24;25;26;37;50;51;57;59;61;63
6;13;14;24;33;37;39;41;42;44;47;48;50;55;58;62;63;64;66;69
2;4;13;15;22;26;28;31;37;38;39;40;41;42;44;48;49;54;60;69
1;3;15;17;26;28;29;31;34;44;47;48;51;54;55;57;58;61;63;68
3;5;6;7;10;18;20;24;27;29;37;38;40;41;49;59;61;63;65;70
2;4;9;10;12;22;25;29;30;31;37;39;42;45;50;60;63;65;67;68
4;7;16;17;18;20;22;27;29;32;34;37;40;44;49;61;62;63;65;70
3;8;11;15;18;19;21;22;23;24;26;27;32;37;39;40;55;56;67;69
1;2;5;7;8;9;12;14;20;25;29;32;37;38;42;53;57;58;60;70
3;10;17;21;23;25;28;30;36;40;41;42;47;56;57;58;59;60;65;68
1;2;7;8;10;13;18;21;24;32;36;39;43;46;53;54;55;56;62;63
2;11;12;13;20;28;30;32;33;34;35;42;43;46;53;60;64;65;66;67
7;12;16;17;27;28;31;34;35;36;37;40;44;47;52;56;62;63;69;70
5;12;13;14;16;17;20;28;30;38;41;43;48;50;55;64;65;66;68;69
4;5;10;11;13;19;22;25;28;30;33;34;41;42;44;48;55;57;66;70
2;6;8;15;18;27;28;31;33;43;46;49;50;51;54;56;59;60;65;67
1;2;12;14;19;25;26;27;34;36;38;45;46;47;52;53;57;63;66;70
3;16;19;21;23;25;30;35;37;38;39;44;50;52;53;54;55;61;63;67
2;10;17;19;22;23;26;30;31;36;37;40;44;46;50;51;52;63;66;67
1;3;8;12;13;15;22;24;26;27;30;34;36;43;46;49;50;53;65;70
6;8;12;13;14;16;17;26;27;30;33;44;47;48;49;51;52;55;56;57
1;4;6;9;12;16;21;26;27;31;32;42;43;47;58;62;63;66;67;69
1;6;10;13;14;15;16;20;30;31;33;36;38;45;48;56;65;66;67;69
4;6;7;13;14;15;16;21;23;30;36;41;43;50;51;52;55;64;68;69
3;5;10;11;32;34;36;37;38;39;42;45;47;51;55;57;59;61;66;67
4;6;12;16;24;29;30;31;32;33;34;37;40;44;50;51;53;63;66;70
6;10;12;13;17;19;21;26;27;30;31;33;36;40;42;47;48;53;54;70
13;15;19;22;24;26;31;32;41;43;44;46;48;49;52;53;54;55;63;68
7;20;27;31;32;33;35;37;39;42;47;48;49;50;52;57;59;65;67;68
5;8;17;18;25;26;28;29;34;36;39;40;45;46;47;55;56;61;64;70
1;4;6;7;10;12;22;24;27;32;33;34;35;42;52;54;60;66;69;70
9;11;15;18;22;23;27;29;31;32;36;40;43;47;53;57;59;62;63;70
1;12;21;22;25;26;28;34;35;37;44;47;50;54;55;58;59;65;67;69
1;10;13;17;20;22;23;29;30;39;41;43;44;48;49;51;53;63;64;66
4;5;7;8;9;11;12;21;22;25;31;35;36;39;40;49;54;55;56;66
1;2;3;20;24;25;27;30;38;39;40;41;44;45;49;52;55;56;68;69
3;5;6;8;17;27;28;29;33;34;36;39;41;46;55;57;59;64;67;68
1;2;10;12;14;17;20;24;26;29;31;39;43;44;47;48;49;52;58;60
2;3;12;15;18;20;22;23;25;28;33;36;39;44;45;48;52;66;68;70
2;4;15;16;18;23;25;28;31;32;34;36;37;38;40;41;42;49;53;63
5;7;12;13;25;30;36;38;48;50;51;52;53;57;58;60;62;63;65;69
5;7;13;18;20;21;22;23;26;27;28;29;32;44;48;57;59;64;65;67
4;8;13;14;17;19;20;25;26;31;32;43;45;46;53;54;55;58;59;60
4;5;9;10;11;16;25;27;40;43;50;51;53;54;56;60;63;64;67;68
1;2;9;15;16;17;20;22;24;31;39;44;45;47;51;58;60;64;67;69
3;4;5;12;21;23;25;27;31;35;42;43;49;50;52;53;60;61;63;70
1;3;6;7;11;13;15;18;20;26;33;37;39;42;46;48;50;63;67;68
2;5;7;10;11;16;21;22;23;26;28;31;38;45;46;54;57;58;59;69
2;8;9;15;16;19;21;26;29;30;43;44;45;46;47;49;54;55;65;69
7;9;12;15;16;22;23;26;31;37;39;40;44;45;51;57;59;61;62;70
4;7;8;9;11;16;19;23;27;29;31;39;41;43;47;52;56;63;65;67
1;2;4;8;10;11;15;18;19;26;29;30;32;46;50;63;64;65;67;70
2;4;8;11;15;18;22;24;31;36;37;39;47;48;49;52;59;61;64;70
2;10;12;13;18;20;23;28;29;30;31;32;39;40;43;50;52;61;64;69
1;3;6;11;12;26;27;30;32;33;38;46;48;51;53;61;62;64;66;67
5;6;11;12;13;16;20;26;30;35;36;37;39;40;43;57;59;63;68;70
7;10;13;14;15;21;23;24;28;31;33;36;39;40;44;47;51;58;64;69
3;4;5;8;9;15;16;18;19;30;40;43;45;46;50;51;60;63;68;69
2;3;6;7;8;10;13;19;21;26;28;31;35;37;41;46;51;53;60;65
6;8;10;11;13;16;18;19;27;28;36;38;44;47;52;53;56;58;63;67
2;3;8;11;18;19;20;23;28;29;40;41;46;49;56;57;60;63;66;67
2;3;9;12;13;14;18;20;28;30;34;42;47;48;50;59;62;65;68;69
1;2;5;9;12;15;17;20;27;28;34;35;37;41;44;45;59;62;67;69
1;5;9;16;21;23;32;34;35;36;37;38;39;46;48;54;56;57;61;69
2;11;22;23;25;28;33;35;38;40;44;45;47;52;53;58;60;65;67;68
4;5;7;13;19;24;27;28;32;40;42;43;44;47;49;50;51;61;63;69
2;5;6;12;13;19;23;24;28;30;33;35;37;39;43;47;50;57;62;68
4;10;16;25;28;31;34;35;38;39;40;43;44;51;52;53;55;61;64;68
1;2;7;10;12;15;21;22;28;29;33;34;40;41;45;46;52;55;60;67
7;11;15;18;19;21;26;29;32;36;38;42;43;49;53;56;59;60;63;65
2;10;13;18;19;20;24;26;34;36;37;41;47;48;50;51;53;58;64;68
3;4;8;11;15;19;24;26;33;42;43;49;50;53;56;57;59;60;68;70
3;10;15;16;17;18;23;30;32;34;35;41;44;49;50;54;58;62;64;66
5;6;11;14;15;16;17;30;32;33;34;41;46;48;50;51;57;62;63;68
2;8;12;14;15;22;26;27;35;38;39;44;54;56;57;59;60;61;63;67
2;3;5;20;21;23;24;25;28;30;33;37;38;39;45;54;55;57;63;67
6;10;11;12;13;16;18;23;31;33;35;40;42;45;49;56;65;67;68;70
4;5;8;14;19;21;24;27;28;30;33;34;41;45;52;55;60;64;69;70
1;3;5;16;18;19;21;26;30;34;37;38;39;52;53;60;62;63;67;69
2;8;9;11;16;18;22;23;26;28;35;37;40;41;42;54;62;63;65;70
3;5;11;16;20;22;24;26;30;32;36;39;43;46;54;55;58;62;67;68
1;2;8;10;12;19;26;28;30;33;37;39;43;47;49;50;55;57;65;66
5;6;8;15;24;25;27;31;33;43;49;52;61;63;64;65;66;68;69;70
6;11;14;15;17;24;26;28;29;30;31;32;40;46;49;51;59;61;62;69
4;8;13;16;19;20;22;24;29;30;35;38;39;46;53;55;57;58;61;68
3;4;5;8;10;19;26;29;39;40;44;45;48;50;55;59;65;67;69;70
1;2;3;5;7;20;21;24;28;29;35;38;39;43;46;47;52;59;62;65
1;2;17;18;20;24;36;37;39;42;46;49;51;52;56;59;60;61;65;69
2;5;10;14;26;27;29;31;33;39;42;44;45;47;48;51;54;59;64;69
3;5;13;15;16;19;20;24;32;34;35;37;39;42;44;50;52;63;66;70
3;4;5;7;8;15;26;31;36;37;38;42;47;48;53;56;58;66;68;69
2;4;15;17;20;24;26;31;36;38;40;42;43;52;59;61;62;63;68;69
2;5;6;11;13;15;20;21;23;27;35;37;39;40;44;45;57;60;64;69
5;7;9;10;14;15;18;22;23;26;32;38;45;49;52;53;60;65;68;69
1;3;6;8;10;16;27;28;32;35;36;41;46;47;49;51;56;63;67;70
2;4;7;10;15;16;17;23;25;29;32;35;36;41;55;57;58;64;67;68
1;4;5;14;17;19;20;23;25;32;35;43;45;51;52;57;61;62;63;64
1;5;6;8;12;22;33;35;38;40;47;48;50;52;54;55;56;61;62;63
4;7;10;11;12;13;16;22;23;24;28;30;31;32;34;42;51;59;60;68
6;9;11;15;18;19;21;22;23;30;38;42;43;46;47;52;55;57;60;61
6;7;9;16;17;19;28;39;42;43;44;45;47;49;53;56;61;67;69;70
4;10;12;21;24;25;30;31;32;37;41;43;44;45;50;55;60;67;68;70
1;3;4;10;12;19;20;22;30;33;35;45;47;50;51;58;60;61;67;70
1;2;3;4;5;16;18;23;24;26;28;34;36;44;45;50;53;58;59;61
1;3;8;9;13;17;20;21;27;30;31;35;43;46;53;63;64;65;67;68
6;7;8;13;20;21;30;42;43;46;47;50;51;55;56;58;63;64;66;67
3;7;9;14;17;20;25;30;31;32;37;40;43;46;53;54;56;57;59;60
2;9;13;26;30;31;36;37;38;39;41;42;43;48;54;59;64;65;66;69
1;3;7;15;19;20;26;28;29;30;41;46;48;51;52;54;56;63;64;70
2;9;10;11;12;13;19;20;22;25;28;34;39;42;52;57;58;59;65;69
1;16;17;19;22;27;28;30;41;43;44;46;50;51;53;55;61;63;67;68
1;2;9;24;25;26;27;28;33;35;37;46;53;54;56;59;61;64;65;69
2;5;12;14;17;20;30;32;34;37;38;55;56;58;60;62;64;66;68;69
4;6;8;13;15;16;17;18;24;31;32;34;35;36;37;42;46;60;63;64
5;7;11;13;16;18;21;22;23;24;29;37;42;44;49;51;52;53;54;67
7;8;13;15;17;26;29;30;31;34;36;38;40;50;55;58;61;62;64;65
2;7;8;10;17;20;29;36;40;44;45;46;47;49;51;52;55;60;65;68
3;10;11;15;19;20;23;24;29;37;40;47;50;51;56;58;59;65;66;69
1;4;5;6;8;13;18;24;26;29;41;42;45;54;57;60;62;63;65;68
3;4;5;8;9;12;16;19;26;28;39;44;49;51;55;57;58;60;67;69
5;6;9;12;14;20;21;23;33;37;45;48;49;55;56;57;61;64;65;68
2;10;16;23;24;26;29;32;33;39;40;42;44;45;46;50;56;62;63;67
11;15;22;26;30;31;33;34;39;40;43;44;47;48;52;54;55;61;68;69
4;5;6;9;11;14;18;19;20;24;26;31;34;45;46;47;49;52;58;61
2;3;7;8;17;20;21;23;26;27;32;36;41;43;49;50;54;62;66;68
4;6;8;20;22;27;35;41;44;49;52;53;57;59;61;62;63;67;69;70
4;6;10;11;15;16;17;20;22;23;30;40;49;51;53;61;62;66;69;70
10;12;13;22;23;33;35;43;44;45;47;51;52;53;54;56;61;63;66;70
1;6;7;16;18;25;26;31;32;36;37;42;44;46;48;57;60;61;69;70
1;2;3;6;7;14;15;17;20;29;30;34;35;40;45;51;53;55;62;69
6;12;15;17;21;22;24;29;32;35;36;39;41;43;44;48;59;65;66;68
4;7;11;13;14;15;19;20;25;26;29;38;40;42;43;46;49;51;59;64
2;4;6;10;12;16;24;25;32;33;36;37;44;52;58;59;60;66;68;70
1;11;12;14;22;24;28;32;34;42;44;46;50;51;53;58;59;65;66;69
2;8;9;12;14;16;25;28;32;34;35;37;38;45;47;49;51;58;61;66
3;4;6;9;15;17;19;21;22;26;29;31;34;36;38;44;49;51;57;70
1;5;10;15;18;22;23;25;28;39;40;44;45;46;49;50;62;64;66;70
1;5;7;8;10;22;24;26;28;32;33;43;53;56;59;60;63;64;66;68
3;9;13;14;17;19;25;27;28;30;34;37;39;43;45;50;52;61;63;68
5;11;16;23;24;25;35;37;39;44;45;46;48;49;50;55;56;58;66;70
2;3;6;7;8;11;21;27;30;36;37;39;46;52;53;54;55;56;63;68
3;8;13;19;23;25;26;29;30;34;37;45;47;51;52;55;56;63;65;66
8;11;15;16;17;19;24;26;32;37;47;48;52;53;55;57;60;61;66;70
2;3;7;9;13;14;17;19;22;27;28;32;35;38;39;41;43;48;59;63
1;4;5;11;25;26;27;32;33;34;44;46;51;52;53;56;57;58;64;65
14;25;26;29;30;36;38;39;42;43;45;47;49;50;55;58;59;62;67;70
2;3;5;7;10;11;12;13;15;16;19;22;29;37;48;49;53;54;61;66
12;13;14;15;19;23;25;27;28;31;41;42;46;53;55;56;57;60;64;67
2;3;11;13;17;22;23;24;29;30;31;33;42;46;49;50;52;57;66;69
2;5;6;7;9;10;21;23;25;29;39;43;45;54;55;57;58;60;63;64
3;6;7;8;14;15;17;20;24;29;34;40;41;44;53;54;61;64;69;70
3;4;5;11;12;15;17;20;25;28;32;40;41;42;44;50;53;56;62;69
3;5;9;14;16;19;21;22;25;28;37;38;43;49;53;56;60;61;63;69
1;17;18;20;21;23;24;25;26;27;30;33;39;48;49;54;58;64;65;69
3;4;7;9;12;15;19;20;28;35;36;38;39;40;46;48;52;53;62;69
2;4;5;7;9;12;16;20;27;28;33;39;40;44;46;58;62;65;67;68
5;11;12;15;16;20;21;27;28;33;39;41;43;45;49;57;60;63;68;69
7;8;10;24;29;36;40;43;44;45;51;52;53;54;56;57;59;63;66;67
1;2;6;11;17;18;23;24;29;32;33;40;41;43;48;61;62;64;66;67
7;8;11;12;14;16;20;28;29;30;31;34;36;38;39;40;45;49;57;67
4;5;7;8;22;24;27;29;32;37;41;43;45;52;54;58;59;62;65;66
2;11;13;14;15;16;20;22;24;28;29;38;41;44;52;57;58;61;68;70
2;10;11;21;24;26;27;29;33;36;37;42;44;45;49;51;57;61;63;65
2;4;14;15;17;18;27;28;30;33;35;38;43;45;52;55;56;63;64;68
3;5;13;15;19;22;24;25;26;33;37;40;44;46;49;57;61;62;65;70
1;2;6;7;15;18;28;30;33;34;36;44;47;49;50;53;58;62;63;66
9;10;12;13;16;17;21;26;30;35;36;37;40;48;49;53;55;59;62;69
1;3;4;8;10;11;12;20;28;29;30;38;40;42;46;51;54;58;61;63
1;2;8;9;13;14;17;19;20;23;24;27;40;43;47;48;52;55;62;65
2;4;6;19;21;22;25;27;28;30;36;46;55;57;60;61;63;68;69;70
6;7;11;14;21;23;28;34;35;36;42;44;47;48;51;55;57;64;65;70
2;7;11;12;16;20;23;31;34;39;41;45;47;49;53;55;56;64;65;68
5;6;7;12;17;18;19;20;22;23;31;34;35;40;43;46;49;50;55;60
1;7;9;11;13;15;17;23;29;31;33;36;37;39;44;45;50;58;60;63
7;9;10;12;28;32;33;35;36;41;44;50;52;54;57;58;60;64;69;70
2;3;16;19;20;27;37;39;41;43;46;47;52;54;56;61;63;64;66;70
9;10;13;18;23;25;29;33;34;37;43;44;51;52;54;56;57;62;69;70
2;3;5;6;8;17;19;28;33;38;39;40;42;47;48;51;57;58;62;70
1;3;12;13;14;16;24;27;35;36;38;39;48;50;51;53;56;57;60;65
1;2;5;6;9;10;12;22;26;31;34;46;53;54;56;58;59;65;67;70
1;4;8;12;14;16;26;27;33;36;37;38;45;46;51;55;59;61;65;67
1;3;6;9;13;17;19;20;28;31;32;33;37;39;46;47;50;53;54;66
3;4;7;8;19;23;26;28;33;35;41;46;50;51;53;56;57;60;65;70
5;7;10;14;21;23;29;33;35;36;37;43;44;47;50;52;56;57;63;69
2;3;8;12;16;17;23;24;25;28;32;34;37;40;48;50;51;55;59;65
1;7;9;10;11;12;19;25;26;42;44;46;51;55;57;59;61;67;69;70
1;2;12;14;15;18;20;22;24;26;29;44;45;46;48;49;53;54;59;66
1;5;6;8;13;14;30;33;38;40;42;44;45;47;48;58;62;63;64;67
5;6;12;14;21;23;26;27;30;33;40;41;42;49;52;55;61;62;66;67
4;10;11;16;22;23;25;30;35;38;42;48;49;50;51;54;58;66;67;68
1;2;7;9;10;13;18;24;26;34;38;42;43;44;45;53;55;57;65;68
5;8;10;13;15;20;22;23;35;38;39;41;48;49;53;54;57;59;64;67
1;5;11;12;15;20;23;30;31;33;36;41;43;45;52;53;60;64;65;69
5;11;14;20;23;24;28;30;31;32;37;39;40;54;59;60;61;63;64;70
1;2;11;13;16;19;22;23;25;27;28;32;43;46;50;54;57;63;66;70
4;9;13;14;23;26;27;33;39;40;41;42;43;44;50;51;63;64;67;68
1;5;7;9;15;16;18;20;23;28;30;32;41;42;49;51;58;60;63;70
3;10;19;20;24;27;28;29;31;34;38;42;44;46;47;48;56;64;65;70
2;3;5;15;29;30;40;43;44;48;49;50;52;54;55;57;58;60;63;68
2;4;7;8;15;17;21;27;29;36;43;50;52;53;55;56;58;60;63;66
2;5;9;10;14;17;24;28;31;32;33;38;45;47;49;51;57;59;60;64
7;10;13;16;19;34;35;37;39;42;43;44;45;49;50;51;58;63;68;70
6;10;11;12;15;24;25;31;32;33;40;41;42;50;51;54;55;59;60;69
1;2;4;6;7;9;12;13;25;29;31;33;35;38;39;45;47;50;60;64
4;15;16;22;29;36;37;39;40;45;46;47;51;54;57;62;63;64;65;70
7;11;15;16;19;23;27;28;33;35;38;39;43;48;50;52;56;61;64;68
6;7;9;11;16;21;23;29;31;33;35;43;44;45;51;53;58;60;62;64
3;4;8;9;11;17;19;20;34;40;42;45;49;52;54;59;60;65;66;69
4;8;13;17;18;19;20;26;35;38;41;45;51;55;60;61;62;64;66;67
2;4;11;14;15;18;20;22;24;31;33;41;42;46;53;55;59;60;62;66
4;6;7;12;17;19;21;26;33;36;43;45;46;48;55;59;62;67;68;70
6;13;19;20;21;22;30;32;33;35;36;42;44;50;51;55;56;62;66;68
8;13;14;17;23;25;26;28;32;34;38;41;45;46;47;52;56;61;62;66
4;5;10;13;15;17;18;23;24;32;34;36;40;42;45;54;59;62;67;68
2;3;4;6;7;8;15;16;17;26;29;36;40;45;50;53;57;61;62;69
4;7;9;12;16;21;32;33;35;40;41;43;44;48;49;59;61;62;65;70
8;11;13;17;18;19;21;24;26;27;28;30;31;37;44;46;49;55;63;69
3;4;5;11;13;14;17;19;21;29;35;39;40;42;47;50;59;60;63;64
2;3;5;7;8;9;11;18;29;34;39;45;53;54;57;58;60;64;67;69
1;7;15;16;25;27;28;36;38;39;43;44;49;50;55;58;60;64;65;66
5;8;9;16;17;22;29;39;43;44;45;49;50;52;54;59;61;62;63;64
2;4;6;8;9;11;12;23;27;31;43;54;57;59;60;62;64;65;67;70
1;10;16;18;19;22;23;24;25;26;28;29;38;44;46;50;51;56;67;68
3;5;6;11;15;19;22;35;36;44;46;48;54;55;56;58;59;60;62;64
9;17;19;21;28;35;36;37;39;47;49;50;51;53;57;58;59;63;67;68
2;6;9;19;20;21;23;24;26;27;32;36;37;42;50;53;60;63;66;67
6;10;11;13;16;19;29;31;35;37;39;41;45;52;58;59;60;61;62;65
2;4;6;7;9;10;12;16;22;29;34;35;36;38;41;46;51;52;53;67
2;11;14;24;28;31;32;33;34;36;42;45;46;48;55;56;57;59;61;63
7;14;17;24;27;29;32;34;38;42;45;46;51;55;60;61;62;66;67;69
2;3;5;8;11;13;15;17;29;30;35;38;45;46;48;58;59;62;65;66
7;15;18;22;24;28;31;33;34;35;37;50;55;58;59;60;64;67;68;69
5;7;16;17;18;19;21;26;27;28;29;30;36;37;42;47;51;62;68;70
4;13;16;17;23;27;33;35;37;42;45;47;50;52;57;61;62;63;66;68
11;14;15;19;20;22;26;27;29;33;36;40;47;49;50;51;54;60;69;70
4;7;9;11;12;13;14;23;24;25;27;30;36;43;48;58;60;64;68;70
3;5;6;7;8;11;20;21;31;33;38;39;42;44;45;47;61;65;67;69
1;5;16;20;21;22;24;28;31;32;36;41;42;53;54;55;61;63;67;68
5;7;10;13;14;17;19;24;25;26;33;37;38;42;48;57;59;60;61;67
3;4;5;7;9;13;21;22;26;30;31;32;34;39;48;50;52;53;57;67
2;4;7;14;18;21;23;28;32;33;43;44;47;49;52;55;59;65;66;70
2;4;5;9;10;11;15;16;17;25;35;44;50;55;57;62;64;68;69;70
1;3;4;13;16;21;22;23;24;26;28;32;34;38;48;50;58;61;62;63
1;5;6;8;16;18;21;26;30;34;45;46;48;53;61;63;65;66;67;68
2;3;4;5;12;14;17;24;31;35;36;38;40;43;45;46;52;54;56;59
5;8;11;12;22;23;27;30;32;33;35;36;43;45;48;49;55;57;69;70
10;13;14;17;20;24;27;29;30;34;35;37;38;39;49;50;65;66;69;70
2;11;16;18;21;22;27;28;31;33;37;40;41;43;47;50;60;62;64;68
1;2;3;6;8;15;16;17;20;23;27;30;32;36;45;50;55;56;61;67
1;2;4;6;7;8;9;13;15;26;31;33;34;35;40;44;46;50;63;66
1;5;9;13;16;17;18;21;31;33;35;36;39;43;56;59;60;61;67;68
2;5;13;17;25;29;33;34;37;44;46;52;58;59;60;61;64;66;67;70
1;3;4;7;8;10;15;20;28;29;34;38;45;51;53;55;63;65;66;70
3;7;10;11;18;19;20;22;29;32;34;38;44;50;59;60;61;62;63;67
2;3;14;15;19;23;29;30;32;41;43;48;49;52;53;56;57;61;65;68
4;6;9;11;13;14;15;16;19;25;26;29;31;37;41;42;43;48;49;51
6;7;9;11;13;15;17;20;28;30;34;35;36;41;43;49;53;57;63;64
2;5;7;9;10;12;14;15;35;37;39;42;47;48;51;52;54;57;62;68
5;6;17;22;28;30;32;33;34;35;39;40;46;50;57;62;65;66;69;70
5;6;8;9;13;19;21;25;26;40;44;45;54;55;58;60;64;65;66;69
2;3;5;7;20;24;25;26;30;34;35;36;40;41;50;53;54;56;61;67
1;3;9;17;23;25;28;35;40;41;44;45;47;54;55;57;58;60;63;66
1;9;10;11;15;16;18;19;20;22;31;32;37;53;55;58;59;62;63;64
2;6;8;10;11;20;21;22;23;30;41;43;45;56;60;65;66;67;69;70
4;9;11;16;17;25;26;27;31;32;35;38;40;41;47;48;52;54;63;68
5;7;16;17;21;23;24;26;34;36;37;42;43;44;47;54;55;59;61;62
5;10;14;17;19;25;32;33;34;37;38;39;49;54;56;57;61;63;64;66
10;11;19;22;27;28;31;33;34;43;44;46;47;52;53;56;59;62;63;65
1;6;7;11;26;27;29;34;35;39;40;41;46;48;50;53;55;58;61;64
5;11;12;16;21;23;25;26;29;30;42;45;46;47;52;58;65;66;67;68
1;2;3;8;9;10;14;15;16;30;31;34;38;42;45;49;55;57;64;68
1;2;3;4;7;8;11;13;23;28;31;35;46;47;48;49;59;61;64;68
8;12;15;19;27;30;35;38;41;45;48;49;51;55;56;58;62;64;66;67
3;8;9;10;14;16;18;20;21;23;27;29;32;34;41;49;51;64;65;67
6;10;14;17;19;25;28;36;37;42;44;47;48;49;50;57;63;64;65;66
1;2;4;6;7;13;14;18;22;23;26;30;37;38;39;43;44;56;66;69
2;4;6;13;18;20;22;25;31;32;35;42;43;47;51;52;53;55;63;68
1;9;11;13;17;18;21;26;30;32;34;38;42;44;52;54;56;57;63;65
3;5;9;15;17;18;19;20;24;30;31;32;38;41;42;48;59;62;66;67
3;5;10;13;18;21;26;31;33;37;41;42;44;51;53;58;60;61;68;69
9;10;12;13;17;20;21;26;27;40;42;49;54;55;56;58;60;63;65;67
1;11;14;15;16;17;20;25;27;30;31;41;52;54;59;62;65;66;67;68
1;2;4;8;11;12;18;20;39;43;45;48;49;52;56;60;63;66;68;70
1;3;7;10;20;26;27;28;30;32;33;35;36;40;41;44;45;48;56;65
2;3;11;14;17;22;23;25;31;32;37;42;48;50;59;62;63;66;67;68
4;6;8;13;15;17;19;26;34;37;40;43;44;48;51;54;58;65;66;67
5;6;7;15;16;18;20;31;32;35;38;39;41;45;47;48;50;60;62;69
5;6;15;20;22;23;25;26;29;31;32;35;38;47;53;55;58;60;61;67
2;3;6;9;14;15;19;27;29;30;35;37;41;42;46;58;60;64;67;70
1;3;11;12;13;15;24;25;28;30;36;42;43;45;56;57;58;61;63;65
6;7;18;19;21;23;24;25;36;47;49;52;54;55;57;60;65;66;67;68
12;13;14;17;21;22;24;26;32;33;35;39;41;42;43;46;51;57;60;69
3;14;17;18;22;28;29;32;39;45;47;49;53;55;58;59;60;63;65;68
1;11;14;17;24;31;33;35;40;42;43;47;49;50;56;59;64;65;66;69
3;4;7;8;13;17;20;26;27;31;32;34;36;44;45;47;50;52;65;67
1;3;6;11;13;14;16;18;20;22;24;35;36;38;40;51;52;61;62;63
3;4;8;20;22;24;30;32;34;39;40;41;46;47;49;50;54;57;60;70
8;9;10;13;22;28;31;33;35;39;42;45;49;51;55;57;58;59;64;66
5;8;15;17;23;24;29;30;32;35;36;39;41;43;45;49;52;53;58;60
6;14;17;18;20;25;28;32;33;35;40;43;46;48;49;54;57;58;62;68
6;7;8;11;14;15;18;27;35;37;42;48;54;57;58;59;63;64;67;70
5;6;9;12;18;20;22;34;38;45;46;47;48;49;51;55;60;61;62;67
2;3;4;6;8;20;22;24;26;33;40;41;48;49;50;52;53;55;59;66
1;3;13;23;24;25;27;28;32;35;38;40;45;49;51;53;55;58;65;69
1;5;6;12;22;23;26;31;33;35;36;39;40;42;43;46;49;50;58;67
1;2;9;12;13;23;24;25;33;36;41;45;46;48;49;52;56;59;60;67
6;7;11;12;13;14;17;20;26;27;36;37;44;48;50;51;56;63;64;66
1;3;5;6;7;8;10;13;15;20;27;28;30;47;50;52;54;61;62;65
4;8;9;12;13;15;16;19;20;21;27;29;30;31;32;43;50;54;55;60
3;4;9;12;13;14;16;19;20;24;33;35;36;37;39;53;57;60;64;67
1;2;3;8;10;14;20;28;31;33;42;46;47;48;49;50;52;59;61;62
3;6;10;12;13;18;25;27;28;29;32;33;36;42;45;57;65;68;69;70
3;8;10;13;17;19;22;24;25;28;33;38;42;48;51;54;61;63;65;70
2;7;10;11;13;18;23;25;32;33;37;39;40;50;54;55;58;63;65;68
6;8;12;13;23;25;28;31;32;34;36;37;38;40;41;42;50;52;59;69
9;12;13;17;18;20;28;31;33;34;36;39;40;45;46;47;52;55;59;60
8;9;11;16;20;21;23;25;29;30;34;35;42;44;51;54;57;58;63;64
5;8;9;11;12;14;16;26;30;31;33;35;36;37;44;48;51;52;63;66
10;13;14;18;19;27;30;42;43;45;46;47;50;51;55;59;64;67;68;69
2;3;4;9;13;15;24;25;26;32;38;43;54;58;59;61;63;64;65;66
8;11;12;18;21;26;34;39;40;44;45;46;47;50;51;52;54;58;63;69
6;7;9;14;15;17;18;23;24;29;30;32;33;40;44;50;51;55;58;59
5;10;18;24;28;29;31;35;36;40;42;43;45;47;48;53;56;60;67;68
1;2;3;4;9;11;14;19;22;26;41;42;44;46;50;51;57;58;63;69
2;3;7;12;14;18;20;24;29;37;43;45;46;51;54;55;58;61;65;69
1;12;14;17;19;25;26;28;31;35;39;40;43;53;55;56;57;58;62;67
1;2;7;10;11;12;15;16;21;37;39;42;45;47;55;56;58;60;61;68
1;6;10;14;16;20;26;29;30;32;40;41;42;43;44;46;52;54;64;69
1;2;4;8;10;13;14;15;17;32;36;37;38;50;53;55;57;61;65;70
1;4;6;12;13;14;17;19;20;22;30;45;48;50;51;53;55;61;64;65
8;11;13;21;22;25;30;32;34;43;46;52;54;56;60;63;64;68;69;70
1;5;10;11;13;15;21;26;27;28;30;40;42;45;49;51;52;66;68;69
4;5;6;7;14;15;26;30;34;35;39;41;42;43;45;50;56;57;59;66
1;3;13;14;15;18;19;25;36;41;43;49;50;51;54;55;58;62;65;66
7;8;16;23;35;36;38;40;44;48;49;52;53;54;55;56;57;61;65;70
6;7;21;28;31;39;40;41;42;43;46;47;52;56;58;59;61;65;67;69
4;5;8;11;14;15;16;21;25;29;33;35;36;42;54;55;65;68;69;70
3;5;6;13;15;18;31;32;33;40;41;43;49;52;57;59;63;65;69;70
3;5;8;17;18;21;24;28;31;34;37;44;46;50;53;60;61;64;65;70
4;15;17;19;20;21;28;29;31;35;40;41;42;46;54;57;59;62;64;68
2;7;9;13;15;16;18;22;23;27;40;41;44;50;51;54;55;59;65;70
1;7;8;10;16;18;21;22;26;27;28;29;34;39;44;46;53;56;58;62
1;7;13;15;16;19;25;28;32;39;40;43;44;48;53;54;55;66;69;70
4;7;10;13;18;19;24;27;29;33;34;40;41;48;50;51;53;61;66;68
8;9;10;14;19;24;26;28;29;33;34;38;41;46;47;50;59;61;62;65
1;2;6;7;8;10;14;15;19;23;27;28;37;46;50;55;58;61;62;70
7;9;12;14;17;18;20;23;29;30;31;32;35;43;44;47;60;62;66;69
