No1;No2;No3;No4;No5;No6;No7;No8;No9;No10;No11;No12;No13;No14;No15;No16;No17;No18;No19;No20
6;13;14;15;19;20;24;26;28;37;43;44;48;49;52;58;62;63;69;70
5;8;21;24;30;33;34;39;41;45;50;53;54;59;60;62;63;67;68;69
2;5;12;13;15;17;24;27;31;34;35;39;42;45;48;51;58;61;68;70
5;7;14;18;19;21;23;27;28;31;33;38;40;46;47;53;54;55;56;62
3;6;11;13;19;23;25;28;29;42;43;47;48;49;53;57;59;67;69;70
8;12;16;19;20;25;29;30;32;33;37;39;40;44;47;52;54;67;68;70
2;4;11;16;17;20;21;22;23;24;25;27;28;32;35;37;41;49;66;67
3;4;18;19;22;25;27;28;30;34;39;42;44;46;51;52;60;66;68;69
2;8;9;10;16;17;18;20;21;23;24;28;35;36;38;39;52;56;57;69
1;3;5;9;13;17;18;19;23;32;40;41;43;44;53;54;57;58;66;69
3;4;11;12;18;22;24;42;44;45;47;48;49;50;53;56;58;64;68;69
3;5;10;11;15;16;21;24;26;29;34;36;37;45;48;52;56;61;66;68
2;4;5;12;13;15;18;21;25;29;40;41;42;47;50;52;58;61;66;69
3;11;15;16;20;25;26;27;30;31;45;46;47;50;52;54;55;63;66;68
3;6;8;16;17;25;29;31;33;37;39;45;48;52;54;58;59;64;66;67
4;6;12;16;18;22;25;31;32;33;34;42;45;49;50;53;55;61;66;70
4;11;12;18;20;22;23;32;34;35;44;45;48;49;57;58;59;60;62;65
2;4;11;15;18;19;20;22;24;27;32;33;37;43;44;46;53;64;65;70
9;17;20;21;22;23;30;31;35;42;43;46;47;49;54;55;57;60;62;69
2;3;4;6;12;13;23;25;26;28;34;35;38;42;44;51;53;54;64;68
4;7;13;15;17;18;21;25;26;27;32;33;39;41;42;53;54;58;65;70
1;6;7;15;16;21;22;23;30;31;32;35;47;51;54;57;59;63;64;66
1;3;11;18;20;24;27;28;30;34;35;36;42;43;50;53;57;63;64;70
5;6;10;20;21;27;28;34;40;41;43;45;50;51;57;61;62;63;66;67
3;4;8;9;10;11;14;16;18;22;23;28;29;39;41;46;57;59;61;63
2;4;12;15;17;19;22;23;25;26;37;41;42;48;51;53;62;63;68;70
1;10;12;14;17;18;26;34;35;38;41;45;50;52;55;60;65;66;67;68
2;3;7;8;12;13;14;18;21;26;29;34;43;46;47;49;52;57;66;68
5;11;12;14;15;17;18;21;27;33;34;39;46;47;48;50;55;58;60;66
1;4;8;10;11;14;15;21;24;28;29;33;36;39;46;50;51;59;62;63
8;10;11;13;19;24;34;37;40;43;46;48;50;52;53;55;56;64;65;67
2;4;5;9;16;20;21;29;35;36;41;44;50;56;57;59;61;63;67;70
3;4;10;12;13;14;22;27;28;36;43;47;51;55;57;58;59;60;62;70
1;2;6;11;14;16;17;22;24;27;35;37;38;40;51;52;54;55;57;63
1;3;6;15;16;19;22;23;33;34;36;37;39;40;41;51;59;61;63;64
6;7;8;9;13;17;24;25;38;48;49;51;52;54;56;57;63;66;68;69
4;5;8;9;18;22;27;31;36;40;41;43;44;46;57;59;64;66;67;69
1;2;7;8;11;12;13;14;16;19;25;27;39;40;47;52;54;62;65;70
4;10;11;23;24;25;26;31;34;35;36;37;44;45;50;51;58;59;67;68
2;3;5;6;12;17;18;19;21;24;27;33;37;43;45;48;54;58;63;64
5;13;17;19;21;27;32;33;34;37;39;46;50;51;53;56;57;60;62;69
3;4;8;9;12;14;17;23;33;34;44;45;46;47;50;53;55;56;59;63
1;3;5;7;11;12;14;21;26;28;29;35;46;47;48;51;57;60;65;67
1;2;6;17;22;24;28;36;38;41;42;43;49;51;52;56;57;60;61;64
5;7;10;13;14;17;19;23;25;29;31;34;35;38;41;54;55;56;59;69
6;7;10;14;16;17;23;28;31;37;42;43;47;49;51;53;57;58;68;69
1;7;18;20;24;25;29;32;36;44;46;49;52;56;58;60;62;63;67;69
2;5;9;12;15;16;22;28;29;37;42;48;52;53;55;58;61;65;66;70
3;7;14;19;20;21;28;29;30;31;37;41;46;49;50;53;54;62;68;70
