Nro1;Nro2;Nro3;Nro4;Nro5;Star1;Star2
13;21;25;34;35;5;10
7;11;19;32;43;2;8
3;19;28;43;49;2;3
4;9;15;24;28;2;6
9;20;27;35;48;5;9
26;27;30;46;49;1;2
8;11;22;38;41;4;7
5;23;28;38;49;3;9
2;5;24;43;45;4;10
7;12;14;40;42;7;8
1;7;9;29;46;9;10
15;19;34;39;49;2;7
1;11;17;23;29;1;8
5;11;35;44;50;4;10
17;21;23;37;45;7;9
11;19;24;33;39;1;4
5;12;26;47;50;2;3
5;17;21;37;38;1;4
18;20;34;49;50;7;8
1;2;22;25;30;5;10
1;27;37;40;41;7;10
4;13;15;41;49;1;9
4;17;27;28;50;5;8
7;10;19;26;42;1;9
17;36;38;43;46;4;6
8;22;25;38;50;8;9
10;19;32;36;46;4;6
38;40;41;46;48;2;6
16;30;33;36;43;4;8
2;3;16;33;46;2;10
15;18;24;27;44;2;7
27;35;36;38;41;5;7
3;13;24;29;32;1;7
9;23;34;40;42;1;4
6;11;18;26;34;5;8
3;11;19;34;37;8;9
7;38;41;44;50;1;8
1;3;4;36;43;2;3
11;18;23;29;32;3;7
12;19;20;28;31;6;9
3;6;11;14;49;1;5
23;27;34;40;43;5;7
3;7;19;27;29;7;10
1;15;29;42;50;3;6
2;12;15;33;39;4;9
15;26;35;37;43;3;8
13;17;26;49;50;1;7
8;20;23;48;50;8;9
11;14;44;46;49;7;10
4;17;22;30;47;1;8
4;5;10;25;31;4;6
8;14;15;20;31;8;9
9;14;24;37;39;4;9
13;33;42;48;50;3;9
5;14;39;43;44;1;6
16;19;21;29;36;1;7
4;31;39;43;46;1;4
8;31;34;36;45;8;10
19;20;22;25;42;4;6
5;9;20;44;48;4;10
2;14;18;23;42;5;10
14;17;20;27;32;3;7
12;22;35;38;49;5;10
20;33;34;37;39;4;8
20;28;32;38;46;6;8
2;6;8;21;25;6;9
15;33;34;38;43;3;7
11;23;37;38;44;4;8
6;13;25;31;49;2;7
4;30;43;44;46;1;3
6;12;20;21;34;4;5
7;17;21;37;39;3;5
2;5;13;15;23;6;8
8;9;30;34;48;5;8
6;8;16;44;50;1;10
3;17;21;35;42;8;9
7;16;36;42;43;6;8
8;17;21;23;47;2;6
9;15;27;41;44;2;4
2;5;9;29;32;2;4
5;21;23;29;35;7;9
12;18;27;33;41;9;10
